quote_time         ,stock_code,close_price,total_asset,cash_begin,total_stock_value,cash_avaliable,sh600271                         ,sz002310                         ,sh600867                         ,sz300146
2017-08-22 14:00:00,sh600867  ,18.65      ,100000     ,100000    ,0                ,100000        ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"
2017-08-22 14:00:00,sz300146  ,14.42      ,100000     ,100000    ,0                ,100000        ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"
2017-08-22 14:00:00,sh600271  ,19.38      ,100000     ,100000    ,0                ,100000        ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"
2017-08-22 14:30:00,sz002310  ,18.39      ,100000     ,100000    ,0                ,100000        ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"
2017-08-22 14:30:00,sh600867  ,18.66      ,100000     ,100000    ,0                ,100000        ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"
2017-08-22 14:30:00,sz300146  ,14.38      ,100000     ,100000    ,0                ,100000        ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"
2017-08-22 14:30:00,sh600271  ,19.35      ,100000     ,100000    ,0                ,100000        ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"
2017-08-22 15:00:00,sz002310  ,18.34      ,100000     ,100000    ,0                ,100000        ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"
2017-08-22 15:00:00,sh600867  ,18.54      ,100000     ,100000    ,0                ,100000        ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"
2017-08-22 15:00:00,sz300146  ,14.38      ,100000     ,100000    ,0                ,100000        ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"
2017-08-22 15:00:00,sh600271  ,19.33      ,100000     ,100000    ,0                ,100000        ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"
2017-08-23 10:00:00,sz002310  ,18.34      ,100000     ,100000    ,0                ,100000        ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"
2017-08-23 10:00:00,sh600867  ,18.58      ,100000     ,100000    ,0                ,100000        ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"
2017-08-23 10:00:00,sz300146  ,14.12      ,100000     ,100000    ,0                ,100000        ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"
2017-08-23 10:00:00,sh600271  ,19.37      ,100000     ,100000    ,0                ,100000        ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"
2017-08-23 10:30:00,sz002310  ,18.42      ,100000     ,100000    ,0                ,100000        ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"
2017-08-23 10:30:00,sh600867  ,18.61      ,100000     ,100000    ,0                ,100000        ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"
2017-08-23 10:30:00,sz300146  ,14.21      ,100000     ,100000    ,0                ,100000        ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"
2017-08-23 10:30:00,sh600271  ,19.47      ,100000     ,100000    ,0                ,100000        ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"
2017-08-23 11:00:00,sz002310  ,18.54      ,100000     ,100000    ,0                ,100000        ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"
2017-08-23 11:00:00,sh600867  ,18.66      ,100000     ,100000    ,55620            ,44380         ,"[0, 0, 0.0]"                    ,"[3000, 3000, 55620.0]"          ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"
2017-08-23 11:00:00,sz300146  ,14.17      ,100000     ,100000    ,55620            ,44380         ,"[0, 0, 0.0]"                    ,"[3000, 3000, 55620.0]"          ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"
2017-08-23 11:00:00,sh600271  ,19.46      ,100000     ,100000    ,55620            ,44380         ,"[0, 0, 0.0]"                    ,"[3000, 3000, 55620.0]"          ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"
2017-08-23 11:30:00,sz002310  ,18.64      ,100300     ,100000    ,55920            ,44380         ,"[0, 0, 0.0]"                    ,"[3000, 3000, 55920.0]"          ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"
2017-08-23 11:30:00,sh600867  ,18.65      ,100300     ,100000    ,55920            ,44380         ,"[0, 0, 0.0]"                    ,"[3000, 3000, 55920.0]"          ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"
2017-08-23 11:30:00,sz300146  ,14.15      ,100300     ,100000    ,55920            ,44380         ,"[0, 0, 0.0]"                    ,"[3000, 3000, 55920.0]"          ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"
2017-08-23 11:30:00,sh600271  ,19.44      ,100300     ,100000    ,55920            ,44380         ,"[0, 0, 0.0]"                    ,"[3000, 3000, 55920.0]"          ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"
2017-08-23 13:30:00,sz002310  ,18.8       ,100780     ,100000    ,56400            ,44380         ,"[0, 0, 0.0]"                    ,"[3000, 3000, 56400.0]"          ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"
2017-08-23 13:30:00,sh600867  ,18.6       ,100780     ,100000    ,56400            ,44380         ,"[0, 0, 0.0]"                    ,"[3000, 3000, 56400.0]"          ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"
2017-08-23 13:30:00,sz300146  ,14.23      ,100780     ,100000    ,56400            ,44380         ,"[0, 0, 0.0]"                    ,"[3000, 3000, 56400.0]"          ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"
2017-08-23 13:30:00,sh600271  ,19.48      ,100780     ,100000    ,56400            ,44380         ,"[0, 0, 0.0]"                    ,"[3000, 3000, 56400.0]"          ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"
2017-08-23 14:00:00,sz002310  ,18.83      ,100870     ,100000    ,56490            ,44380         ,"[0, 0, 0.0]"                    ,"[3000, 3000, 56489.99999999999]","[0, 0, 0.0]"                    ,"[0, 0, 0.0]"
2017-08-23 14:00:00,sh600867  ,18.64      ,100870     ,100000    ,56490            ,44380         ,"[0, 0, 0.0]"                    ,"[3000, 3000, 56489.99999999999]","[0, 0, 0.0]"                    ,"[0, 0, 0.0]"
2017-08-23 14:00:00,sz300146  ,14.26      ,100870     ,100000    ,56490            ,44380         ,"[0, 0, 0.0]"                    ,"[3000, 3000, 56489.99999999999]","[0, 0, 0.0]"                    ,"[0, 0, 0.0]"
2017-08-23 14:00:00,sh600271  ,19.46      ,100870     ,100000    ,56490            ,44380         ,"[0, 0, 0.0]"                    ,"[3000, 3000, 56489.99999999999]","[0, 0, 0.0]"                    ,"[0, 0, 0.0]"
2017-08-23 14:30:00,sz002310  ,18.79      ,100750     ,100000    ,56370            ,44380         ,"[0, 0, 0.0]"                    ,"[3000, 3000, 56370.0]"          ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"
2017-08-23 14:30:00,sh600867  ,18.57      ,100750     ,100000    ,56370            ,44380         ,"[0, 0, 0.0]"                    ,"[3000, 3000, 56370.0]"          ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"
2017-08-23 14:30:00,sz300146  ,14.22      ,100750     ,100000    ,56370            ,44380         ,"[0, 0, 0.0]"                    ,"[3000, 3000, 56370.0]"          ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"
2017-08-23 14:30:00,sh600271  ,19.46      ,100750     ,100000    ,56370            ,44380         ,"[0, 0, 0.0]"                    ,"[3000, 3000, 56370.0]"          ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"
2017-08-23 15:00:00,sz002310  ,18.8       ,100780     ,100000    ,56400            ,44380         ,"[0, 0, 0.0]"                    ,"[3000, 3000, 56400.0]"          ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"
2017-08-23 15:00:00,sh600867  ,18.5       ,100780     ,100000    ,56400            ,44380         ,"[0, 0, 0.0]"                    ,"[3000, 3000, 56400.0]"          ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"
2017-08-23 15:00:00,sz300146  ,14.06      ,100780     ,100000    ,56400            ,44380         ,"[0, 0, 0.0]"                    ,"[3000, 3000, 56400.0]"          ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"
2017-08-23 15:00:00,sh600271  ,19.49      ,100780     ,100000    ,56400            ,44380         ,"[0, 0, 0.0]"                    ,"[3000, 3000, 56400.0]"          ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"
2017-08-24 10:00:00,sz002310  ,18.45      ,99730      ,100000    ,55350            ,44380         ,"[0, 0, 0.0]"                    ,"[3000, 3000, 55350.0]"          ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"
2017-08-24 10:00:00,sh600867  ,18.4       ,99730      ,100000    ,0                ,99730         ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"
2017-08-24 10:00:00,sz300146  ,14.04      ,99730      ,100000    ,0                ,99730         ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"
2017-08-24 10:00:00,sh600271  ,19.39      ,99730      ,100000    ,0                ,99730         ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"
2017-08-24 10:30:00,sz002310  ,18.46      ,99730      ,100000    ,0                ,99730         ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"
2017-08-24 10:30:00,sh600867  ,18.36      ,99730      ,100000    ,0                ,99730         ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"
2017-08-24 10:30:00,sz300146  ,13.97      ,99730      ,100000    ,0                ,99730         ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"
2017-08-24 10:30:00,sh600271  ,19.36      ,99730      ,100000    ,0                ,99730         ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"
2017-08-24 11:00:00,sz002310  ,18.56      ,99730      ,100000    ,0                ,99730         ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"
2017-08-24 11:00:00,sh600867  ,18.4       ,99730      ,100000    ,0                ,99730         ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"
2017-08-24 11:00:00,sz300146  ,14.26      ,99730      ,100000    ,0                ,99730         ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"
2017-08-24 11:00:00,sh600271  ,19.38      ,99730      ,100000    ,42780            ,56950         ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[3000, 3000, 42780.0]"
2017-08-24 11:30:00,sz002310  ,18.64      ,99730      ,100000    ,42780            ,56950         ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[3000, 3000, 42780.0]"
2017-08-24 11:30:00,sh600867  ,18.39      ,99730      ,100000    ,42780            ,56950         ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[3000, 3000, 42780.0]"
2017-08-24 11:30:00,sz300146  ,14.38      ,100090     ,100000    ,43140            ,56950         ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[3000, 3000, 43140.0]"
2017-08-24 11:30:00,sh600271  ,19.41      ,100090     ,100000    ,43140            ,56950         ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[3000, 3000, 43140.0]"
2017-08-24 13:30:00,sz002310  ,18.64      ,100090     ,100000    ,43140            ,56950         ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[3000, 3000, 43140.0]"
2017-08-24 13:30:00,sh600867  ,18.4       ,100090     ,100000    ,43140            ,56950         ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[3000, 3000, 43140.0]"
2017-08-24 13:30:00,sz300146  ,14.33      ,99940      ,100000    ,42990            ,56950         ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[3000, 3000, 42990.0]"
2017-08-24 13:30:00,sh600271  ,19.4       ,99940      ,100000    ,42990            ,56950         ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[3000, 3000, 42990.0]"
2017-08-24 14:00:00,sz002310  ,18.67      ,99940      ,100000    ,42990            ,56950         ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[3000, 3000, 42990.0]"
2017-08-24 14:00:00,sh600867  ,18.4       ,99940      ,100000    ,42990            ,56950         ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[3000, 3000, 42990.0]"
2017-08-24 14:00:00,sz300146  ,14.33      ,99940      ,100000    ,42990            ,56950         ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[3000, 3000, 42990.0]"
2017-08-24 14:00:00,sh600271  ,19.4       ,99940      ,100000    ,42990            ,56950         ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[3000, 3000, 42990.0]"
2017-08-24 14:30:00,sz002310  ,18.65      ,99940      ,100000    ,42990            ,56950         ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[3000, 3000, 42990.0]"
2017-08-24 14:30:00,sh600867  ,18.34      ,99940      ,100000    ,42990            ,56950         ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[3000, 3000, 42990.0]"
2017-08-24 14:30:00,sz300146  ,14.31      ,99880      ,100000    ,42930            ,56950         ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[3000, 3000, 42930.0]"
2017-08-24 14:30:00,sh600271  ,19.3       ,99880      ,100000    ,42930            ,56950         ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[3000, 3000, 42930.0]"
2017-08-24 15:00:00,sz002310  ,18.65      ,99880      ,100000    ,42930            ,56950         ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[3000, 3000, 42930.0]"
2017-08-24 15:00:00,sh600867  ,18.29      ,99880      ,100000    ,42930            ,56950         ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[3000, 3000, 42930.0]"
2017-08-24 15:00:00,sz300146  ,14.24      ,99670      ,100000    ,42720            ,56950         ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[3000, 3000, 42720.0]"
2017-08-24 15:00:00,sh600271  ,19.28      ,99670      ,100000    ,42720            ,56950         ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[3000, 3000, 42720.0]"
2017-08-25 10:00:00,sz002310  ,18.62      ,99670      ,100000    ,42720            ,56950         ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[3000, 3000, 42720.0]"
2017-08-25 10:00:00,sh600867  ,18.23      ,99670      ,100000    ,42720            ,56950         ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[3000, 3000, 42720.0]"
2017-08-25 10:00:00,sz300146  ,14.21      ,99580      ,100000    ,42630            ,56950         ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[3000, 3000, 42630.0]"
2017-08-25 10:00:00,sh600271  ,19.3       ,99580      ,100000    ,0                ,99580         ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"
2017-08-25 10:30:00,sz002310  ,18.51      ,99580      ,100000    ,0                ,99580         ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"
2017-08-25 10:30:00,sh600867  ,18.4       ,99580      ,100000    ,0                ,99580         ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"
2017-08-25 10:30:00,sz300146  ,14.26      ,99580      ,100000    ,0                ,99580         ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"
2017-08-25 10:30:00,sh600271  ,19.37      ,99580      ,100000    ,0                ,99580         ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"
2017-08-25 11:00:00,sz002310  ,18.68      ,99580      ,100000    ,0                ,99580         ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"
2017-08-25 11:00:00,sh600867  ,18.49      ,99580      ,100000    ,0                ,99580         ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"
2017-08-25 11:00:00,sz300146  ,14.18      ,99580      ,100000    ,0                ,99580         ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"
2017-08-25 11:00:00,sh600271  ,19.34      ,99580      ,100000    ,0                ,99580         ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"
2017-08-25 11:30:00,sz002310  ,18.7       ,99580      ,100000    ,0                ,99580         ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"
2017-08-25 11:30:00,sh600867  ,18.63      ,99580      ,100000    ,56100            ,43480         ,"[0, 0, 0.0]"                    ,"[3000, 3000, 56100.0]"          ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"
2017-08-25 11:30:00,sz300146  ,14.18      ,99580      ,100000    ,98949            ,631           ,"[0, 0, 0.0]"                    ,"[3000, 3000, 56100.0]"          ,"[2300, 2300, 42849.0]"          ,"[0, 0, 0.0]"
2017-08-25 11:30:00,sh600271  ,19.36      ,99580      ,100000    ,98949            ,631           ,"[0, 0, 0.0]"                    ,"[3000, 3000, 56100.0]"          ,"[2300, 2300, 42849.0]"          ,"[0, 0, 0.0]"
2017-08-25 13:30:00,sz002310  ,18.75      ,99730      ,100000    ,99099            ,631           ,"[0, 0, 0.0]"                    ,"[3000, 3000, 56250.0]"          ,"[2300, 2300, 42849.0]"          ,"[0, 0, 0.0]"
